sido,sigungu,cityGubun,marketType,userType,ageGroup,gender,dtYearMonth,userCount,useCount,useCost
제주도,제주시,도심,교통,내국인관광객,20대미만,여,201811,47,54,4196319
제주도,제주시,도심,교통,내국인관광객,20대미만,남,201811,52,66,10908862
제주도,제주시,도심,교통,내국인관광객,60대이상,여,201812,1213,1415,113520500
제주도,제주시,도심,교통,내국인관광객,60대이상,남,201812,2713,3201,307446543
제주도,제주시,도심,교통,내국인관광객,50대,여,201812,3605,4009,349862624
제주도,제주시,도심,교통,내국인관광객,50대,남,201812,7137,8333,713661875
제주도,제주시,도심,교통,내국인관광객,40대,여,201812,5080,5694,532932776
제주도,제주시,도심,교통,내국인관광객,40대,남,201812,8804,10291,839732240
제주도,제주시,도심,교통,내국인관광객,30대,여,201812,6585,7222,572301729
제주도,제주시,도심,교통,내국인관광객,30대,남,201812,9663,10985,834413947
제주도,제주시,도심,교통,내국인관광객,20대미만,여,201812,86,92,11689873
제주도,제주시,도심,교통,내국인관광객,20대미만,남,201812,92,98,21069287
제주도,제주시,읍면,교통,내국인관광객,60대이상,여,201609,562,657,35779805
제주도,제주시,읍면,교통,내국인관광객,60대이상,남,201609,1535,1788,104971320
제주도,제주시,읍면,교통,내국인관광객,50대,여,201609,1414,1589,74304600
제주도,제주시,읍면,교통,내국인관광객,50대,남,201609,2998,3491,205489083
제주도,제주시,읍면,교통,내국인관광객,40대,여,201609,1801,2073,92249812
제주도,제주시,읍면,교통,내국인관광객,40대,남,201609,4020,4664,256758032
제주도,제주시,읍면,교통,내국인관광객,30대,여,201609,3607,4033,121213766
제주도,제주시,읍면,교통,내국인관광객,30대,남,201609,5513,6118,228562864
제주도,제주시,읍면,교통,내국인관광객,20대,여,201609,2670,2923,62817056
제주도,제주시,읍면,교통,내국인관광객,20대,남,201609,1984,2182,63955643
제주도,제주시,읍면,교통,내국인관광객,60대이상,여,201610,598,706,37096168
제주도,제주시,읍면,교통,내국인관광객,60대이상,남,201610,1581,1874,105457065
제주도,제주시,읍면,교통,내국인관광객,50대,여,201610,1535,1781,80422750
제주도,제주시,읍면,교통,내국인관광객,50대,남,201610,3001,3578,211108454
제주도,제주시,읍면,교통,내국인관광객,40대,여,201610,1905,2203,95064522
제주도,제주시,읍면,교통,내국인관광객,40대,남,201610,3858,4597,259143861
제주도,제주시,읍면,교통,내국인관광객,30대,여,201610,3049,3407,110368962
제주도,제주시,읍면,교통,내국인관광객,30대,남,201610,4672,5234,204110003
제주도,제주시,읍면,교통,내국인관광객,20대,여,201610,1950,2158,48557602
제주도,제주시,읍면,교통,내국인관광객,20대,남,201610,1639,1801,56850858
제주도,제주시,읍면,교통,내국인관광객,60대이상,여,201611,595,699,38304038
제주도,제주시,읍면,교통,내국인관광객,60대이상,남,201611,1467,1800,120884552
제주도,제주시,읍면,교통,내국인관광객,50대,여,201611,1431,1741,93614406
제주도,제주시,읍면,교통,내국인관광객,50대,남,201611,3067,3727,237849024
제주도,제주시,읍면,교통,내국인관광객,40대,여,201611,1677,1954,88531733
제주도,제주시,읍면,교통,내국인관광객,40대,남,201611,3652,4539,296296452
제주도,제주시,읍면,교통,내국인관광객,30대,여,201611,2567,2901,99223024
제주도,제주시,읍면,교통,내국인관광객,30대,남,201611,4050,4613,206034872
제주도,제주시,읍면,교통,내국인관광객,20대,여,201611,1762,1967,47625254
제주도,제주시,읍면,교통,내국인관광객,20대,남,201611,1543,1702,57258993
제주도,제주시,읍면,교통,내국인관광객,60대이상,여,201612,509,625,39483872
제주도,제주시,읍면,교통,내국인관광객,60대이상,남,201612,1392,1818,128568460
제주도,제주시,읍면,교통,내국인관광객,50대,여,201612,1357,1633,91549542
제주도,제주시,읍면,교통,내국인관광객,50대,남,201612,3366,4199,301201505
제주도,제주시,읍면,교통,내국인관광객,40대,여,201612,1608,1917,95742866
제주도,제주시,읍면,교통,내국인관광객,40대,남,201612,3817,4906,346658525
